toby_id|raw_relation_id|num_expert_agree
drug_disease_145|t_18303032_rel_0|2
drug_disease_144|t_18303032_rel_6|2
drug_disease_147|t_18303032_rel_2|2
drug_disease_146|t_18303032_rel_4|2
drug_disease_141|t_17391803_rel_0|2
drug_disease_140|t_18058121_rel_1|2
drug_disease_143|t_19026757_rel_2|2
drug_disease_142|t_19026757_rel_4|3
drug_disease_170|t_18512713_rel_0|2
drug_disease_149|t_18303032_rel_5|2
drug_disease_148|t_18303032_rel_1|2
drug_disease_113|t_18713852_rel_12|2
drug_disease_43|t_18371953_rel_6|3
drug_disease_42|t_18371953_rel_7|3
drug_disease_41|t_18371953_rel_2|2
drug_disease_40|t_18371953_rel_13|3
drug_disease_228|t_17291222_rel_3|2
drug_disease_46|t_17483062_rel_0|2
drug_disease_45|t_18371953_rel_14|3
drug_disease_44|t_18371953_rel_10|3
drug_disease_224|t_18560637_rel_0|2
drug_disease_225|t_17291222_rel_0|3
drug_disease_226|t_17291222_rel_1|3
drug_disease_227|t_17291222_rel_2|2
drug_disease_220|t_17688650_rel_0|3
drug_disease_221|t_17688650_rel_1|3
drug_disease_222|t_18609261_rel_0|3
drug_disease_223|t_18609261_rel_2|2
drug_disease_169|t_18512713_rel_1|2
drug_disease_168|t_18512713_rel_3|2
drug_disease_21|t_18953065_rel_0|3
drug_disease_97|t_18713852_rel_9|3
drug_disease_20|t_18640477_rel_3|2
drug_disease_23|t_18953065_rel_1|3
drug_disease_22|t_18953065_rel_2|3
drug_disease_163|t_18512713_rel_9|3
drug_disease_229|t_19100448_rel_3|2
drug_disease_162|t_18512713_rel_8|2
drug_disease_130|t_18208910_rel_2|2
drug_disease_51|t_18220495_rel_1|2
drug_disease_52|t_18220495_rel_3|3
drug_disease_53|t_17976209_rel_0|3
drug_disease_54|t_18300089_rel_0|2
drug_disease_55|t_18300089_rel_8|3
drug_disease_239|t_17244684_rel_1|2
drug_disease_238|t_17244684_rel_2|2
drug_disease_138|t_18058121_rel_0|2
drug_disease_139|t_18058121_rel_2|3
drug_disease_235|t_16944312_rel_4|2
drug_disease_234|t_16944312_rel_3|2
drug_disease_233|t_19100448_rel_8|2
drug_disease_232|t_19100448_rel_0|2
drug_disease_231|t_19100448_rel_6|3
drug_disease_230|t_19100448_rel_4|2
drug_disease_202|t_17547473_rel_1|2
