pub_rel_id|raw_relation_id|num_expert_agree
drug_disease_145|18303032_raw_rel_0|2
drug_disease_144|18303032_raw_rel_6|2
drug_disease_147|18303032_raw_rel_2|2
drug_disease_146|18303032_raw_rel_4|2
drug_disease_141|17391803_raw_rel_0|2
drug_disease_140|18058121_raw_rel_1|2
drug_disease_143|19026757_raw_rel_2|2
drug_disease_142|19026757_raw_rel_4|3
drug_disease_170|18512713_raw_rel_0|2
drug_disease_149|18303032_raw_rel_5|2
drug_disease_148|18303032_raw_rel_1|2
drug_disease_113|18713852_raw_rel_12|2
drug_disease_43|18371953_raw_rel_6|3
drug_disease_42|18371953_raw_rel_7|3
drug_disease_41|18371953_raw_rel_2|2
drug_disease_40|18371953_raw_rel_13|3
drug_disease_228|17291222_raw_rel_3|2
drug_disease_46|17483062_raw_rel_0|2
drug_disease_45|18371953_raw_rel_14|3
drug_disease_44|18371953_raw_rel_10|3
drug_disease_224|18560637_raw_rel_0|2
drug_disease_225|17291222_raw_rel_0|3
drug_disease_226|17291222_raw_rel_1|3
drug_disease_227|17291222_raw_rel_2|2
drug_disease_220|17688650_raw_rel_0|3
drug_disease_221|17688650_raw_rel_1|3
drug_disease_222|18609261_raw_rel_0|3
drug_disease_223|18609261_raw_rel_2|2
drug_disease_169|18512713_raw_rel_1|2
drug_disease_168|18512713_raw_rel_3|2
drug_disease_21|18953065_raw_rel_0|3
drug_disease_97|18713852_raw_rel_9|3
drug_disease_20|18640477_raw_rel_3|2
drug_disease_23|18953065_raw_rel_1|3
drug_disease_22|18953065_raw_rel_2|3
drug_disease_163|18512713_raw_rel_9|3
drug_disease_229|19100448_raw_rel_3|2
drug_disease_162|18512713_raw_rel_8|2
drug_disease_130|18208910_raw_rel_2|2
drug_disease_51|18220495_raw_rel_1|2
drug_disease_52|18220495_raw_rel_3|3
drug_disease_53|17976209_raw_rel_0|3
drug_disease_54|18300089_raw_rel_0|2
drug_disease_55|18300089_raw_rel_8|3
drug_disease_239|17244684_raw_rel_1|2
drug_disease_238|17244684_raw_rel_2|2
drug_disease_138|18058121_raw_rel_0|2
drug_disease_139|18058121_raw_rel_2|3
drug_disease_235|16944312_raw_rel_4|2
drug_disease_234|16944312_raw_rel_3|2
drug_disease_233|19100448_raw_rel_8|2
drug_disease_232|19100448_raw_rel_0|2
drug_disease_231|19100448_raw_rel_6|3
drug_disease_230|19100448_raw_rel_4|2
drug_disease_202|17547473_raw_rel_1|2
drug_disease_203|17547473_raw_rel_3|2
drug_disease_200|17547473_raw_rel_9|2
drug_disease_201|17547473_raw_rel_5|3
drug_disease_206|17726209_raw_rel_1|2
drug_disease_207|17726209_raw_rel_0|2
drug_disease_204|17547473_raw_rel_2|3
drug_disease_205|17547473_raw_rel_4|2
drug_disease_133|18586644_raw_rel_1|2
drug_disease_208|18975369_raw_rel_10|2
drug_disease_209|18975369_raw_rel_9|2
drug_disease_197|18077493_raw_rel_0|3
drug_disease_216|18975369_raw_rel_4|3
drug_disease_132|18586644_raw_rel_3|2
drug_disease_218|18975369_raw_rel_2|3
drug_disease_210|18975369_raw_rel_0|2
drug_disease_50|18220495_raw_rel_0|3
drug_disease_69|18452197_raw_rel_0|2
drug_disease_68|18452197_raw_rel_1|2
drug_disease_131|18586644_raw_rel_2|2
drug_disease_65|18342498_raw_rel_1|3
drug_disease_64|18342498_raw_rel_0|3
drug_disease_67|18452197_raw_rel_12|2
drug_disease_66|18452197_raw_rel_13|2
drug_disease_61|18300089_raw_rel_3|2
drug_disease_60|18300089_raw_rel_7|2
drug_disease_63|18923587_raw_rel_0|3
drug_disease_62|18300089_raw_rel_6|3
drug_disease_123|17894421_raw_rel_2|2
drug_disease_122|17894421_raw_rel_1|2
drug_disease_121|17894421_raw_rel_11|1
drug_disease_120|17634547_raw_rel_3|2
drug_disease_127|18230056_raw_rel_0|3
drug_disease_126|19117254_raw_rel_0|3
drug_disease_125|17894421_raw_rel_4|2
drug_disease_124|17894421_raw_rel_6|2
drug_disease_134|18586644_raw_rel_0|2
drug_disease_129|18208910_raw_rel_3|2
drug_disease_128|18208910_raw_rel_7|3
drug_disease_19|18640477_raw_rel_9|3
drug_disease_215|18975369_raw_rel_1|2
drug_disease_214|18975369_raw_rel_5|3
drug_disease_217|18975369_raw_rel_3|3
drug_disease_195|18713156_raw_rel_5|2
