"gold_std_association_type"	"pubmed_id"	"num_sentence"	"subject_text"	"subject_start"	"subject_end"	"subject_type"	"object_text"	"object_start"	"object_end"	"object_type"	"original_sentence"	"pub_rel_id"	"formatted_sentence"	"form_subject"	"form_object"
"false"	18042885	0	"Cardiovascular thromboembolic adverse effects"	0	45	"disease"	"cyclooxygenase"	62	76	"drug"	"Cardiovascular thromboembolic adverse effects associated with cyclooxygenase-2 selective inhibitors and nonselective antiinflammatory drugs."	"drug_disease_1"	"<div class=""formatted_sentence""><span class=""subject_text"">Cardiovascular thromboembolic adverse effects</span> associated with <span class=""object_text"">cyclooxygenase</span>-2 selective inhibitors and nonselective antiinflammatory drugs.</div>"	"&quot;<span class=""form_subject"">Cardiovascular thromboembolic adverse effects</span>&quot;"	"&quot;<span class=""form_object"">cyclooxygenase</span>&quot;"
"false"	18037672	8	"motion sickness"	180	195	"disease"	"alfentanil"	58	68	"drug"	"The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness."	"drug_disease_3"	"<div class=""formatted_sentence"">The frequency of PONV did not correlate to the amounts of <span class=""object_text"">alfentanil</span>, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or <span class=""subject_text"">motion sickness</span>.</div>"	"&quot;<span class=""form_subject"">motion sickness</span>&quot;"	"&quot;<span class=""form_object"">alfentanil</span>&quot;"
"false"	18586644	8	"iron-deficiency anemia"	116	138	"disease"	"NaFe-EDTA"	67	76	"drug"	"No significant differences were observed between FeSO4+citrate and NaFe-EDTA fortification, regarding mitigation of iron-deficiency anemia (IDA) or regarding CRP, growth, infections, or side-effects."	"drug_disease_132"	"<div class=""formatted_sentence"">No significant differences were observed between FeSO4+citrate and <span class=""object_text"">NaFe-EDTA</span> fortification, regarding mitigation of <span class=""subject_text"">iron-deficiency anemia</span> (IDA) or regarding CRP, growth, infections, or side-effects.</div>"	"&quot;<span class=""form_subject"">iron-deficiency anemia</span>&quot;"	"&quot;<span class=""form_object"">NaFe-EDTA</span>&quot;"
"false"	17274718	6	"periodontitis"	128	141	"disease"	"CsA"	63	66	"drug"	"ET-1 mRNA expression was significantly higher in patients with CsA-induced gingival overgrowth (P <0.001) than in patients with periodontitis and the controls."	"drug_disease_10"	"<div class=""formatted_sentence"">ET-1 mRNA expression was significantly higher in patients with <span class=""object_text"">CsA</span>-induced gingival overgrowth (P <0.001) than in patients with <span class=""subject_text"">periodontitis</span> and the controls.</div>"	"&quot;<span class=""form_subject"">periodontitis</span>&quot;"	"&quot;<span class=""form_object"">CsA</span>&quot;"
"positive"	18058121	7	"spontaneous abortions"	130	151	"disease"	"radioisotopes"	60	73	"drug"	"For exposure levels within standard recommended guidelines, radioisotopes are far more likely to play a role in the occurrence of spontaneous abortions than X-rays."	"drug_disease_139"	"<div class=""formatted_sentence"">For exposure levels within standard recommended guidelines, <span class=""object_text"">radioisotopes</span> are far more likely to play a role in the occurrence of <span class=""subject_text"">spontaneous abortions</span> than X-rays.</div>"	"&quot;<span class=""form_subject"">spontaneous abortions</span>&quot;"	"&quot;<span class=""form_object"">radioisotopes</span>&quot;"
"false"	17274718	2	"periodontitis"	91	104	"disease"	"CsA"	145	148	"drug"	"Gingival samples were collected from eight normal healthy individuals, eight patients with periodontitis, and eight patients with cyclosporin A (CsA)-induced gingival overgrowth."	"drug_disease_13"	"<div class=""formatted_sentence"">Gingival samples were collected from eight normal healthy individuals, eight patients with <span class=""subject_text"">periodontitis</span>, and eight patients with cyclosporin A (<span class=""object_text"">CsA</span>)-induced gingival overgrowth.</div>"	"&quot;<span class=""form_subject"">periodontitis</span>&quot;"	"&quot;<span class=""form_object"">CsA</span>&quot;"
"false"	18640477	0	"mild asthma"	78	89	"disease"	"montelukast"	28	39	"drug"	"Review of recent results of montelukast use as a monotherapy in children with mild asthma."	"drug_disease_16"	"<div class=""formatted_sentence"">Review of recent results of <span class=""object_text"">montelukast</span> use as a monotherapy in children with <span class=""subject_text"">mild asthma</span>.</div>"	"&quot;<span class=""form_subject"">mild asthma</span>&quot;"	"&quot;<span class=""form_object"">montelukast</span>&quot;"
"false"	18640477	5	"mild asthma"	92	103	"disease"	"montelukast"	117	128	"drug"	"This article reviewed recent results from randomized, double-blind studies of children with mild asthma treated with montelukast, a leukotriene receptor antagonist that is approved for the treatment of asthma and allergic rhinitis in children and adults."	"drug_disease_17"	"<div class=""formatted_sentence"">This article reviewed recent results from randomized, double-blind studies of children with <span class=""subject_text"">mild asthma</span> treated with <span class=""object_text"">montelukast</span>, a leukotriene receptor antagonist that is approved for the treatment of asthma and allergic rhinitis in children and adults.</div>"	"&quot;<span class=""form_subject"">mild asthma</span>&quot;"	"&quot;<span class=""form_object"">montelukast</span>&quot;"
"positive"	18303032	2	"PTCL"	95	99	"disease"	"cisplatin"	270	279	"drug"	"Forty-one patients [30 males and 11 females, median age 47 years] consecutively diagnosed with PTCL received three courses of high-dose cyclophosphamide 2000 mg/m(2)/day, adriamycin 90 mg/m(2)/day, vincristine and prednisone alternating with three courses of etoposide, cisplatin, cytarabine and prednisone."	"drug_disease_146"	"<div class=""formatted_sentence"">Forty-one patients [30 males and 11 females, median age 47 years] consecutively diagnosed with <span class=""subject_text"">PTCL</span> received three courses of high-dose cyclophosphamide 2000 mg/m(2)/day, adriamycin 90 mg/m(2)/day, vincristine and prednisone alternating with three courses of etoposide, <span class=""object_text"">cisplatin</span>, cytarabine and prednisone.</div>"	"&quot;<span class=""form_subject"">PTCL</span>&quot;"	"&quot;<span class=""form_object"">cisplatin</span>&quot;"
"positive"	18303032	2	"PTCL"	95	99	"disease"	"prednisone"	296	306	"drug"	"Forty-one patients [30 males and 11 females, median age 47 years] consecutively diagnosed with PTCL received three courses of high-dose cyclophosphamide 2000 mg/m(2)/day, adriamycin 90 mg/m(2)/day, vincristine and prednisone alternating with three courses of etoposide, cisplatin, cytarabine and prednisone."	"drug_disease_147"	"<div class=""formatted_sentence"">Forty-one patients [30 males and 11 females, median age 47 years] consecutively diagnosed with <span class=""subject_text"">PTCL</span> received three courses of high-dose cyclophosphamide 2000 mg/m(2)/day, adriamycin 90 mg/m(2)/day, vincristine and prednisone alternating with three courses of etoposide, cisplatin, cytarabine and <span class=""object_text"">prednisone</span>.</div>"	"&quot;<span class=""form_subject"">PTCL</span>&quot;"	"&quot;<span class=""form_object"">prednisone</span>&quot;"
